"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OLFML2B",120.726270846572,2.09874736252072,0.458603680014255,4.57638578577364,4.73077795625149e-06,0.00233019660552436
"KCNJ5",77.3294851610322,1.98950443101595,0.436238903937649,4.56058460870401,5.10114030734059e-06,0.0024527982977796
"SYNGR1",526.545306397508,1.78706968425202,0.393099986938021,4.54609448901809,5.46505094007104e-06,0.00256666752871476
"PHYHIPL",530.673720141059,4.35023296428076,0.959212360219385,4.53521362390055,5.7545210659928e-06,0.00264119438472101
"HIGD1B",13.1025502671138,2.9403153207503,0.652027775552077,4.50949396789227,6.49824422273623e-06,0.00273467948221241
"CDH13",101.053394212068,2.69854234516626,0.597237878773383,4.51837105628426,6.23172054663865e-06,0.00273467948221241
"DIRAS1",92.5624269282448,4.83161509201578,1.07144427776072,4.50944131421718,6.49985715009635e-06,0.00273467948221241
"SPARCL1",13388.5759386022,4.31973530988079,0.959193182392221,4.50350918790666,6.68404766682482e-06,0.00275478250268423
"ZSWIM5",491.15658249929,3.95945169116517,0.882380578936459,4.48723803048514,7.21524479951845e-06,0.00280215132165914
"ALG1L",130.81224830296,3.66551632073271,0.816329509147041,4.49024110933182,7.11425969941368e-06,0.00280215132165914
"P3H4",263.388674123131,0.838870963562644,0.187982672886268,4.46249088111525,8.10123771632678e-06,0.00302971288298554
"RBP7",283.907983704069,2.4074738083521,0.539334133209224,4.46378906898921,8.0522837367579e-06,0.00302971288298554
"RHBDL3",144.077444486714,6.17483393591725,1.38689585773725,4.45226936216509,8.49674838714504e-06,0.00311985152142535
"MAPT",194.955454048724,2.94237473430406,0.661488369133371,4.44811257703431,8.66281265693801e-06,0.00312402681440827
"CACNB4",70.6398709197469,5.29435932351835,1.19206165675798,4.44134688294334,8.9397548091089e-06,0.00316733944508692
"NKD1",4785.82614884667,5.70005810286047,1.29764484298837,4.39261800612076,1.11993805369439e-05,0.00383341508378953
"SRRM3",61.3919759696161,3.09268185359019,0.7056289076904,4.38287295189319,1.17124422468673e-05,0.00394221285292474
"JCAD",731.630903877267,1.85971617113946,0.426246853969794,4.36300269156062,1.28289364513989e-05,0.00411238685136508
"ADRA2C",345.158352459469,4.41281584169876,1.01099291237032,4.36483360833136,1.27219558283634e-05,0.00411238685136508
"SLC16A11",1708.25471776716,3.3582466307727,0.771050622264838,4.35541653660611,1.32814116777761e-05,0.00412643244357983
"PRSS56",31.0785191803652,7.70146659736475,1.76693364949261,4.35866202422276,1.30860022360396e-05,0.00412643244357983
"LAMA3",1796.74389103219,3.54316458499903,0.815972484138336,4.34225988483007,1.4102457540409e-05,0.00431513833376607
"RTN2",224.452556117286,2.09066292478918,0.482242308943479,4.33529552678509,1.45564427738615e-05,0.00432304943850196
"GHRHR",83.2447747695482,5.87485419913838,1.35715602265897,4.32879794294265,1.49925405141529e-05,0.00438803414033795
"HCN2",122.277585904767,4.37629607054145,1.01604712244001,4.30717825373284,1.65350357182273e-05,0.00477035780470858
