"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP10B",20.3727196014326,-4.85096752781109,1.22179796799405,-3.97035160876508,7.17666428244673e-05,0.0111073968038033
"IGHV3-48",196.770561645005,-3.47217061964235,0.875131874841215,-3.96759702104593,7.26009595494942e-05,0.0111073968038033
"GSTZ1",4450.3325246252,-2.04240465082753,0.51693023848341,-3.95102568737247,7.78169706829397e-05,0.0115552479628086
"ALB",5698523.99234389,-1.08609149004343,0.277058425037378,-3.9200810799993,8.85191825395164e-05,0.012373802977424
"IKZF2",108.169092586408,-1.67529351955525,0.435116291498722,-3.85022016478592,0.000118011694661023,0.0149512981239566
"GBA3",4698.65864359601,-2.43555343206742,0.634179078804347,-3.84048215002505,0.000122792901117182,0.0153074236917376
"TMC4",451.932262297388,-3.29392908541505,0.861168898392928,-3.82495128605088,0.00013079794681224,0.0161064910723975
"MUCL3",18.118519603624,-5.66096776267816,1.48187337682166,-3.82014269992478,0.000133374486725399,0.0163020608873552
"L1CAM",22.7682522791594,-2.45265893833535,0.642939804562145,-3.81475671739699,0.000136317161465079,0.0163020608873552
"IL13RA2",102.910167617451,-2.96948060741898,0.779853610560396,-3.80774105192016,0.000140242011756286,0.0163375921241655
"PAFAH2",1259.36597747983,-0.820925233343999,0.215555432437522,-3.80841820621682,0.000139858592860984,0.0163375921241655
"TMEM125",92.075143706214,-3.84146714340188,1.00841754392932,-3.80940134027568,0.000139303678871354,0.0163375921241655
"TCTEX1D1",177.683203750164,-3.47839728542193,0.918181201067385,-3.78835602534478,0.000151647432072913,0.0173306493261368
"ERVE-1",13.4610542393456,-4.77232547149277,1.26516741908525,-3.77209008033363,0.000161885786715086,0.0180623395729899
"TF",461591.767318568,-1.2986751200413,0.34499588891074,-3.76432056666422,0.000167002534387375,0.0181992306090823
"TMEM82",1443.82217343359,-1.91533730790508,0.508686092235065,-3.76526375920653,0.000166373362278684,0.0181992306090823
"GSTA1",37158.1552402655,-1.63539928716576,0.434206001050225,-3.76641336879312,0.00016560951163237,0.0181992306090823
"PITPNM2-AS1",8.68673332076794,-4.66950402725087,1.24076729628302,-3.76340030982388,0.000167618563668696,0.0181992306090823
"PAQR3",298.031242566316,-1.07803749516187,0.287033124193885,-3.75579472992699,0.000172792278684277,0.0184631749631162
