gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromatin_change,change_score,combined_score
MKI67,359.941330898138,1.71946856100436,0.594175676408144,2.89387235000721,0.0038052282331949,0.105995288509477,ReprPC-Tx,3,2.35973428050218
MAP3K9,142.84202914841,1.58559457973998,0.549569906145964,2.88515539516978,0.0039122050285909,0.107200787723736,ReprPC-Tx,3,2.29279728986999
MELK,95.7135427189838,2.21962989823269,0.782866344019213,2.8352603419342,0.0045788355270293,0.117347187142586,Het-Tx,4,3.1098149491163447
SHCBP1,32.7258672892178,1.49760022527824,0.533082490681566,2.80932173060778,0.0049646005645495,0.122559791978522,ReprPCWk-Tx,2,1.74880011263912
AADAT,1411.06312869344,-2.15595961465123,0.778077790878305,-2.77087926159357,0.0055905152356215,0.130235133742936,Tx-ReprPCWk,-2,-2.0779798073256153
CYP2C8,59445.2383055016,-1.81841493230303,0.656268329905526,-2.77084059894343,0.0055911790519992,0.130235133742936,Tx-Het,-4,-2.909207466151515
GPR62,23.3446807910828,2.58744260362063,0.942995685633269,2.74385412684368,0.0060722514343552,0.135366682503558,ReprPCWk-Tx,2,2.293721301810315
ZNF251,353.106059767773,1.01960683405913,0.372253690223052,2.73901068233383,0.0061624371114218,0.136309329096565,Het-Tx,4,2.509803417029565
ARID3A,357.146001700994,2.18514865712499,0.804277717083258,2.71690811607899,0.0065894898531362,0.141226322489302,Het-Tx,4,3.092574328562495
PRKAA2,570.180112605731,2.9573511757696,1.09083218587428,2.71109636666921,0.0067061133104014,0.142708069866763,Het-Tx,4,3.4786755878848
CSRNP3,55.4685325218123,-2.60071540541209,0.962961820855966,-2.7007461241821,0.006918412637718,0.145387453921661,Tx-ReprPCWk,-2,-2.300357702706045
SLC16A2,5196.91580830563,-0.945397446568474,0.350416290036943,-2.69792664738504,0.0069772812989411,0.146320037208843,Tx-ReprPCWk,-2,-1.472698723284237
GBP4,1855.98902052198,-1.11135708902958,0.4171294150195,-2.66429805478386,0.0077149172735597,0.155336744107217,Tx-ReprPCWk,-2,-1.55567854451479
KLHL3,113.49842716528,-1.39302650420506,0.524882135174703,-2.6539796477192,0.0079548624671681,0.157798072473829,Tx-Het,-4,-2.69651325210253
SEMA4D,281.982382767761,-1.17654111389229,0.44402673661776,-2.64970781456594,0.0080561409492378,0.157997368296898,Tx-ReprPCWk,-2,-1.588270556946145
MUC6,419.182791019059,-3.10456885262648,1.17517864942782,-2.64178459516607,0.0082470487787068,0.159529837247111,Tx-Het,-4,-3.55228442631324
ANLN,121.505311318085,2.01434571636916,0.767444409336191,2.62474479175826,0.0086713935339134,0.163968906757849,ReprPCWk-Tx,2,2.00717285818458
FNDC5,1899.15018881374,-1.77385015801631,0.676315739627995,-2.62281365652086,0.0087206955102423,0.164439258477445,Tx-ReprPCWk,-2,-1.8869250790081549
ENTPD8,716.893684625152,-1.76457295784303,0.686600532966597,-2.57001396462487,0.0101694415528531,0.175560946826939,Tx-ReprPCWk,-2,-1.882286478921515
SCIMP,123.286191023111,-1.21185997104226,0.474726964722707,-2.55275149948585,0.0106875718331157,0.180807870844732,Tx-ReprPCWk,-2,-1.60592998552113
CKAP4,3509.25259171842,0.915216980833577,0.360922180100686,2.53577372434761,0.0112199205110321,0.185213228191329,ReprPC-Tx,3,1.9576084904167885
MSX1,50.0504385427154,1.67965852510884,0.662431319200115,2.53559648589234,0.0112255999656443,0.185213228191329,ReprPCWk-Tx,2,1.83982926255442
DAB1,257.270693989269,-1.88139579736455,0.742298512980596,-2.53455417795472,0.0112590515157988,0.18531095791488,Tx-ReprPCWk,-2,-1.940697898682275
ZNF888,66.029447494247,-1.36975495657547,0.549569068846576,-2.49241639353955,0.0126877197140336,0.195147372143876,Tx-Het,-4,-2.684877478287735
GGACT,435.356780511943,-1.47963042072107,0.594226916692036,-2.49000908433757,0.0127739830219027,0.195279495606559,Tx-Het,-4,-2.739815210360535
DNAAF5,732.226803063401,0.511045705988022,0.208045217329289,2.45641650670177,0.0140330407179105,0.203297889023101,Het-Tx,4,2.255522852994011
FEZ1,299.94641070704,-1.32294824902666,0.538996469192589,-2.45446551998462,0.0141094194813699,0.203673857345436,Tx-ReprPC,-3,-2.16147412451333
PIMREG,15.7609244713743,2.01567965281929,0.824997338498573,2.44325594611936,0.0145554105228872,0.207460642789035,ReprPCWk-Tx,2,2.0078398264096453
TEX22,6.17357410815063,1.75010752836403,0.718177529074486,2.43687313723028,0.0148148758597567,0.209808147256512,Het-Tx,4,2.875053764182015
