gene,chromatin_change,change_score
LPAR1,Het-Tx,4
PTGR1,Het-Tx,4
KIAA1958,Tx-Het,-4
TTLL11,Tx-ReprPCWk,-2
MRRF,Tx-ReprPCWk,-2
RABGAP1,Tx-Het,-4
NEK6,Het-Tx,4
GARNL3,Tx-ReprPCWk,-2
SLC2A8,ReprPCWk-Tx,2
ZNF79,Het-Tx,4
NIBAN2,Het-Tx,4
FNBP1,Het-Tx,4
NCS1,Tx-Het,-4
SLC2A6,ReprPCWk-Tx,2
ADAMTSL2,Tx-ReprPCWk,-2
SAPCD2,ReprPCWk-Tx,2
UAP1L1,ReprPCWk-Tx,2
ENTPD8,Tx-ReprPCWk,-2
NOXA1,Tx-ReprPCWk,-2
ECHDC3,Tx-ReprPC,-3
UPF2,Het-Tx,4
SEC61A2,Tx-ReprPC,-3
OPTN,ReprPCWk-Tx,2
DCLRE1C,Het-Tx,4
MINDY3,Tx-Het,-4
MLLT10,Het-Tx,4
SVIL,Het-Tx,4
ZNF438,Tx-ReprPC,-3
ZEB1,Tx-Het,-4
ARHGAP12,Het-Tx,4
PARD3,Tx-Het,-4
ZNF25,Tx-Het,-4
ZNF33A,Tx-Het,-4
ZNF37A,Het-Tx,4
ZNF487,Tx-Het,-4
ZNF22,Het-Tx,4
VSTM4,Tx-ReprPCWk,-2
A1CF,ReprPCWk-Tx,2
HERC4,Het-Tx,4
HKDC1,ReprPCWk-Tx,2
FAM241B,Tx-ReprPCWk,-2
LRRC20,ReprPC-Tx,3
SGPL1,Tx-Het,-4
MICU1,Het-Tx,4
PRXL2A,ReprPCWk-Tx,2
ATAD1,Tx-Het,-4
HECTD2,Tx-Het,-4
CPEB3,Tx-Het,-4
MYOF,ReprPCWk-Tx,2
RBP4,ReprPCWk-Tx,2
TBC1D12,Tx-Het,-4
CYP2C8,Tx-Het,-4
PIK3AP1,ReprPCWk-Tx,2
MARVELD1,Tx-ReprPC,-3
ARMH3,Tx-Het,-4
SUFU,Tx-ReprPC,-3
AS3MT,Tx-ReprPCWk,-2
ACSL5,ReprPCWk-Tx,2
HABP2,Tx-ReprPCWk,-2
NRAP,Tx-ReprPCWk,-2
CASP7,Het-Tx,4
NHLRC2,Tx-Het,-4
ATE1,Tx-Het,-4
DHX32,Tx-Het,-4
MKI67,ReprPC-Tx,3
LRRC27,Tx-Het,-4
NKX6-2,ReprPCWk-Tx,2
KNDC1,Tx-ReprPC,-3
FUOM,ReprPCWk-Tx,2
PRAP1,ReprPCWk-Tx,2
SIGIRR,ReprPCWk-Tx,2
DRD4,ReprPCWk-Tx,2
MUC6,Tx-Het,-4
SMPD1,Tx-ReprPCWk,-2
DCHS1,Tx-ReprPC,-3
CYB5R2,ReprPCWk-Tx,2
TUB,ReprPCWk-Tx,2
SBF2,Tx-Het,-4
IRAG1,Tx-ReprPCWk,-2
BMAL1,Tx-ReprPCWk,-2
KCNC1,ReprPCWk-Tx,2
GAS2,Tx-Het,-4
CCDC73,Tx-ReprPCWk,-2
PRRG4,Tx-ReprPCWk,-2
CD44,Tx-ReprPCWk,-2
TRIM44,Tx-Het,-4
PRR5L,Tx-ReprPCWk,-2
MAPK8IP1,ReprPCWk-Tx,2
CSTPP1,Tx-Het,-4
PACSIN3,ReprPCWk-Tx,2
SPI1,Tx-ReprPCWk,-2
PTPRJ,Tx-Het,-4
SLC43A1,ReprPCWk-Tx,2
GLYAT,Tx-Het,-4
MS4A6A,ReprPCWk-Tx,2
MS4A4A,ReprPCWk-Tx,2
SLC15A3,Tx-ReprPCWk,-2
SYT7,Tx-ReprPCWk,-2
ASRGL1,ReprPCWk-Tx,2
PLAAT3,Tx-Het,-4
RCOR2,ReprPCWk-Tx,2
RASGRP2,Tx-ReprPC,-3
PYGM,Tx-ReprPCWk,-2
FOSL1,ReprPCWk-Tx,2
SPTBN2,ReprPC-Tx,3
LRP5,Het-Tx,4
FCHSD2,ReprPCWk-Tx,2
MOGAT2,ReprPCWk-Tx,2
UVRAG,Tx-Het,-4
THAP12,Het-Tx,4
OMP,Tx-ReprPCWk,-2
MYO7A,ReprPCWk-Tx,2
DLG2,Tx-ReprPCWk,-2
PRSS23,Tx-ReprPCWk,-2
SLC36A4,Tx-Het,-4
CEP295,Het-Tx,4
PIWIL4,Tx-ReprPCWk,-2
AMOTL1,Tx-Het,-4
CWF19L2,Tx-Het,-4
ARHGAP20,Tx-ReprPCWk,-2
TTC12,Tx-Het,-4
SIK3,Tx-Het,-4
CEP164,Het-Tx,4
DSCAML1,Tx-ReprPCWk,-2
FXYD6,Tx-ReprPC,-3
IL10RA,Tx-ReprPCWk,-2
MPZL3,ReprPCWk-Tx,2
THY1,ReprPC-Tx,3
OAF,Tx-ReprPC,-3
FEZ1,Tx-ReprPC,-3
VSIG10L2,ReprPC-Tx,3
ERC1,Tx-Het,-4
CACNA2D4,ReprPCWk-Tx,2
TEAD4,ReprPCWk-Tx,2
CCND2,Tx-ReprPC,-3
NTF3,Tx-ReprPCWk,-2
CD9,Tx-ReprPCWk,-2
PLEKHG6,ReprPCWk-Tx,2
CD27,Tx-ReprPCWk,-2
CD4,ReprPC-Tx,3
P3H3,ReprPCWk-Tx,2
C1R,Tx-ReprPCWk,-2
CD163,Tx-ReprPCWk,-2
A2M,ReprPCWk-Tx,2
CLEC2B,Tx-ReprPCWk,-2
GRIN2B,Tx-Het,-4
DERA,Tx-Het,-4
PLEKHA5,Tx-Het,-4
SLCO1A2,Tx-Het,-4
ARID2,Tx-Het,-4
SLC38A1,ReprPCWk-Tx,2
RAPGEF3,Tx-ReprPC,-3
VDR,Tx-ReprPCWk,-2
SENP1,Het-Tx,4
TUBA1A,ReprPCWk-Tx,2
FMNL3,Tx-ReprPCWk,-2
POU6F1,Tx-ReprPCWk,-2
BIN2,Tx-ReprPCWk,-2
SOAT2,ReprPCWk-Tx,2
ERBB3,ReprPC-Tx,3
HSD17B6,Tx-ReprPCWk,-2
R3HDM2,Tx-Het,-4
CYP27B1,ReprPCWk-Tx,2
USP15,Het-Tx,4
MON2,Tx-Het,-4
PPM1H,Het-Tx,4
IRAK3,Tx-ReprPCWk,-2
RAP1B,Tx-Het,-4
PPP1R12A,Het-Tx,4
LIN7A,Het-Tx,4
ACSS3,Het-Tx,4
METTL25,Tx-Het,-4
TMTC2,Het-Tx,4
NTN4,Tx-Het,-4
SYCP3,Het-Tx,4
PAH,ReprPCWk-Tx,2
CHST11,Het-Tx,4
SLC41A2,Tx-Het,-4
CKAP4,ReprPC-Tx,3
SVOP,Tx-ReprPCWk,-2
OAS1,Tx-Het,-4
TBX3,ReprPCWk-Tx,2
OASL,Tx-ReprPCWk,-2
CCDC92,Tx-ReprPCWk,-2
DNAH10,Tx-ReprPCWk,-2
ZNF26,Tx-Het,-4
SPATA13,ReprPCWk-Tx,2
SLC7A1,ReprPCWk-Tx,2
FRY,ReprPCWk-Tx,2
PDS5B,Tx-Het,-4
SMAD9,ReprPCWk-Tx,2
VWA8,Tx-Het,-4
EPSTI1,Tx-ReprPCWk,-2
RB1,Tx-Het,-4
FNDC3A,Het-Tx,4
KPNA3,Tx-Het,-4
TBC1D4,Tx-Het,-4
LMO7,Het-Tx,4
RNF113B,ReprPCWk-Tx,2
GGACT,Tx-Het,-4
TPP2,Het-Tx,4
BIVM,Tx-Het,-4
EFNB2,Tx-ReprPCWk,-2
RAB20,Het-Tx,4
ARHGEF7,Het-Tx,4
F7,ReprPC-Tx,3
TMEM255B,Tx-ReprPC,-3
TPPP2,Tx-ReprPCWk,-2
DAD1,Het-Tx,4
SLC7A8,Tx-ReprPC,-3
NYNRIN,Tx-ReprPCWk,-2
STRN3,Het-Tx,4
RALGAPA1,Het-Tx,4
MAP4K5,Het-Tx,4
GNG2,ReprPCWk-Tx,2
TXNDC16,Tx-Het,-4
BMP4,Tx-ReprPC,-3
LGALS3,ReprPCWk-Tx,2
PELI2,Tx-ReprPCWk,-2
SGPP1,Tx-Het,-4
PLEKHH1,ReprPCWk-Tx,2
COX16,Tx-Het,-4
ADAM20,Tx-Het,-4
MAP3K9,ReprPC-Tx,3
PCNX1,Het-Tx,4
SIPA1L1,Tx-Het,-4
ISM2,ReprPC-Tx,3
ADCK1,Het-Tx,4
FLRT2,Tx-Het,-4
GALC,Tx-ReprPCWk,-2
TDP1,Het-Tx,4
PRIMA1,ReprPCWk-Tx,2
SERPINA5,ReprPCWk-Tx,2
SYNE3,ReprPCWk-Tx,2
BDKRB2,Tx-ReprPCWk,-2
SETD3,Het-Tx,4
EML1,Tx-ReprPCWk,-2
TRAF3,Het-Tx,4
AMN,ReprPC-Tx,3
TNFAIP2,Tx-ReprPC,-3
GPR132,Tx-ReprPC,-3
TEX22,Het-Tx,4
HERC2,Het-Tx,4
TJP1,Het-Tx,4
KATNBL1,Het-Tx,4
CDIN1,Tx-Het,-4
GANC,Tx-Het,-4
HAUS2,Het-Tx,4
TTBK2,Tx-Het,-4
FAM227B,Tx-Het,-4
SLC27A2,Het-Tx,4
MAPK6,Tx-Het,-4
GNB5,ReprPCWk-Tx,2
NEDD4,Tx-Het,-4
ADAM10,Tx-Het,-4
VPS13C,Tx-Het,-4
DAPK2,Tx-ReprPCWk,-2
RBPMS2,Tx-ReprPC,-3
PIF1,ReprPCWk-Tx,2
MAP2K5,Tx-Het,-4
KIF23,ReprPCWk-Tx,2
UACA,ReprPCWk-Tx,2
NEO1,Tx-Het,-4
PML,Tx-ReprPCWk,-2
EDC3,Tx-Het,-4
CYP1A2,Tx-ReprPCWk,-2
PEAK1,Tx-Het,-4
DNAJA4,Tx-ReprPCWk,-2
CTSH,ReprPCWk-Tx,2
MTHFS,Het-Tx,4
CTXND1,Tx-ReprPCWk,-2
HDGFL3,Tx-ReprPCWk,-2
SLCO3A1,Tx-ReprPC,-3
FAM174B,Tx-ReprPCWk,-2
MCTP2,Het-Tx,4
PGPEP1L,Het-Tx,4
TTC23,Het-Tx,4
RAB40C,Het-Tx,4
PKMYT1,ReprPCWk-Tx,2
PAQR4,ReprPCWk-Tx,2
ZNF200,Het-Tx,4
MEFV,Het-Tx,4
ZSCAN32,Het-Tx,4
ZNF597,Tx-Het,-4
NAA60,Het-Tx,4
CREBBP,Tx-Het,-4
CIITA,Tx-ReprPCWk,-2
CLEC16A,Het-Tx,4
SNX29,Het-Tx,4
CPPED1,Het-Tx,4
PARN,Het-Tx,4
TMC7,Het-Tx,4
VPS35L,Tx-ReprPCWk,-2
ACSM2B,Tx-Het,-4
REXO5,Het-Tx,4
ANKS4B,ReprPC-Tx,3
RBBP6,Het-Tx,4
IL21R,Tx-ReprPCWk,-2
KATNIP,Het-Tx,4
SULT1A1,ReprPCWk-Tx,2
QPRT,Het-Tx,4
SEZ6L2,ReprPC-Tx,3
ASPHD1,ReprPCWk-Tx,2
ITGAL,ReprPC-Tx,3
ITGAX,Tx-ReprPC,-3
ZNF843,Tx-ReprPCWk,-2
TGFB1I1,Tx-ReprPC,-3
SHCBP1,ReprPCWk-Tx,2
PHKB,Tx-Het,-4
NOD2,Het-Tx,4
SALL1,ReprPC-Tx,3
MMP2,Tx-ReprPCWk,-2
LPCAT2,ReprPCWk-Tx,2
AMFR,Tx-Het,-4
RSPRY1,Het-Tx,4
CX3CL1,ReprPC-Tx,3
ACD,ReprPCWk-Tx,2
CARMIL2,ReprPCWk-Tx,2
ZFP90,Tx-Het,-4
CDH1,ReprPCWk-Tx,2
TANGO6,Tx-Het,-4
HAS3,ReprPCWk-Tx,2
WWP2,Het-Tx,4
GLG1,Tx-Het,-4
BCAR1,ReprPCWk-Tx,2
COTL1,ReprPCWk-Tx,2
FBXO31,ReprPC-Tx,3
ZFPM1,ReprPCWk-Tx,2
IL17C,ReprPCWk-Tx,2
CYBA,ReprPCWk-Tx,2
ACSF3,Het-Tx,4
SLC22A31,ReprPCWk-Tx,2
CDH15,ReprPCWk-Tx,2
ZNF778,Het-Tx,4
ENSG00000288715,Het-Tx,4
ANKRD11,Het-Tx,4
SPIRE2,ReprPCWk-Tx,2
DBNDD1,ReprPCWk-Tx,2
TLCD2,Tx-ReprPCWk,-2
RTN4RL1,Tx-ReprPC,-3
HIC1,Tx-ReprPC,-3
SMG6,Tx-ReprPC,-3
TRPV1,ReprPCWk-Tx,2
ZNF594,Tx-Het,-4
SCIMP,Tx-ReprPCWk,-2
PIMREG,ReprPCWk-Tx,2
SLC13A5,ReprPC-Tx,3
CLEC10A,Tx-ReprPCWk,-2
ASGR2,ReprPC-Tx,3
WRAP53,ReprPCWk-Tx,2
KCNAB3,Tx-ReprPC,-3
PIK3R6,Tx-ReprPCWk,-2
USP43,Tx-ReprPCWk,-2
PMP22,Tx-ReprPC,-3
ZNF286A,Het-Tx,4
ZNF287,Tx-Het,-4
DRC3,Tx-ReprPC,-3
SLC47A1,ReprPC-Tx,3
AKAP10,Het-Tx,4
KSR1,Het-Tx,4
LYRM9,Tx-ReprPCWk,-2
NEK8,Het-Tx,4
SLC6A4,ReprPCWk-Tx,2
SLFN11,Tx-ReprPCWk,-2
CCL14,ReprPCWk-Tx,2
CCL23,Tx-Het,-4
AATF,Het-Tx,4
ACACA,Het-Tx,4
KRT23,ReprPC-Tx,3
GHDC,Tx-ReprPCWk,-2
STAT5A,Tx-ReprPCWk,-2
CAVIN1,ReprPCWk-Tx,2
CNTNAP1,ReprPC-Tx,3
G6PC1,ReprPC-Tx,3
GJC1,ReprPC-Tx,3
IGF2BP1,ReprPC-Tx,3
ITGA3,Het-Tx,4
SPATA20,ReprPCWk-Tx,2
TOM1L1,Het-Tx,4
BCAS3,Tx-Het,-4
BRIP1,Het-Tx,4
TLK2,Het-Tx,4
ERN1,Het-Tx,4
AXIN2,ReprPCWk-Tx,2
ARSG,ReprPCWk-Tx,2
ABCA6,Tx-Het,-4
ABCA10,Tx-ReprPCWk,-2
MAP2K6,Tx-Het,-4
CD300A,Het-Tx,4
FDXR,ReprPCWk-Tx,2
SEPTIN9,ReprPCWk-Tx,2
CBX2,ReprPC-Tx,3
CCDC40,ReprPC-Tx,3
ENDOV,Tx-ReprPCWk,-2
PYCR1,ReprPCWk-Tx,2
TBCD,Het-Tx,4
NDC80,Het-Tx,4
SMCHD1,Het-Tx,4
MYOM1,Tx-Het,-4
TGIF1,Tx-Het,-4
PTPRM,ReprPCWk-Tx,2
MTCL1,ReprPCWk-Tx,2
PRELID3A,Het-Tx,4
PTPN2,Het-Tx,4
ABHD3,Tx-Het,-4
TTC39C,Tx-Het,-4
CDH2,Het-Tx,4
ASXL3,Tx-ReprPCWk,-2
ZNF397,Het-Tx,4
LIPG,Tx-ReprPCWk,-2
MAPK4,Tx-ReprPCWk,-2
RTTN,Tx-Het,-4
PARD6G,Tx-ReprPCWk,-2
MIER2,Het-Tx,4
ARID3A,Het-Tx,4
FAM174C,ReprPCWk-Tx,2
C19orf25,ReprPCWk-Tx,2
ADAMTSL5,Tx-ReprPCWk,-2
SF3A2,ReprPC-Tx,3
AMH,ReprPCWk-Tx,2
TMPRSS9,Tx-Het,-4
ANKRD24,Tx-ReprPCWk,-2
PLIN4,Tx-ReprPCWk,-2
FUT6,ReprPCWk-Tx,2
MLLT1,Tx-Het,-4
SLC25A23,Het-Tx,4
CRB3,ReprPC-Tx,3
DENND1C,ReprPC-Tx,3
TNFSF14,Tx-ReprPCWk,-2
VAV1,Tx-ReprPCWk,-2
ZNF557,Het-Tx,4
ARHGEF18,ReprPC-Tx,3
PNPLA6,Het-Tx,4
CAMSAP3,ReprPC-Tx,3
FBN3,ReprPC-Tx,3
CERS4,ReprPCWk-Tx,2
KANK3,Tx-ReprPCWk,-2
ZNF558,Tx-Het,-4
ZNF317,Het-Tx,4
ZNF699,Tx-Het,-4
ZNF559,Tx-Het,-4
ZNF177,Tx-Het,-4
ZNF426,Het-Tx,4
ZNF561,Het-Tx,4
OLFM2,Tx-ReprPCWk,-2
ZNF653,Tx-ReprPCWk,-2
ZNF440,Tx-Het,-4
ZNF763,Tx-Het,-4
ZNF433,Tx-Het,-4
ZNF878,Het-Tx,4
ZNF625,Tx-Het,-4
ZNF44,Tx-Het,-4
ZNF563,Het-Tx,4
ZNF564,Het-Tx,4
ZNF791,Het-Tx,4
GET3,Het-Tx,4
RFX1,Het-Tx,4
ADGRE5,Tx-ReprPCWk,-2
NOTCH3,ReprPC-Tx,3
PGLYRP2,Tx-ReprPCWk,-2
CYP4F22,Tx-ReprPCWk,-2
CYP4F3,Het-Tx,4
HAUS8,Het-Tx,4
HOMER3,ReprPCWk-Tx,2
TM6SF2,Tx-ReprPCWk,-2
ZNF101,Het-Tx,4
ZNF90,Tx-Het,-4
ZNF66,Tx-Het,-4
ZNF85,Tx-Het,-4
ZNF430,ReprPCWk-Tx,2
ZNF708,Tx-Het,-4
RPSA2,Tx-Het,-4
ZNF726,Tx-Het,-4
ZNF507,Tx-ReprPC,-3
SLC7A9,Tx-Het,-4
RHPN2,ReprPCWk-Tx,2
ZNF302,Tx-ReprPCWk,-2
ZNF599,Het-Tx,4
ZNF383,Het-Tx,4
ZNF570,Tx-Het,-4
ZNF793,Tx-Het,-4
